"","AND1_AL_S67","AND1_AY_S72","AND2_AL_S68","AND2_AY_S73","AND3_AL_S69","AND3_AY_S74","AND4_AL_S70","AND4_AY_S75","AND5_AL_S71","AND5_AY_S76"
"d__Bacteria; Firmicutes; Clostridia; Oscillospirales; [Clostridium]_methylpentosum_group; [Clostridium]_methylpentosum_group",0,0,17,6,0,0,14,0,0,0
"d__Bacteria; Firmicutes; Clostridia; Oscillospirales; [Eubacterium]_coprostanoligenes_group; [Eubacterium]_coprostanoligenes_group",1377,1191,1967,2404,625,3534,1332,3439,1902,693
"d__Bacteria; Firmicutes; Clostridia; Oscillospirales; Butyricicoccaceae; Butyricicoccus",28,4,18,30,0,24,40,0,183,49
"d__Bacteria; Firmicutes; Clostridia; Oscillospirales; Butyricicoccaceae; UCG-008",555,178,460,165,157,160,484,163,433,235
"d__Bacteria; Firmicutes; Clostridia; Oscillospirales; Butyricicoccaceae; UCG-009",14,147,25,251,70,60,13,147,56,65
"d__Bacteria; Firmicutes; Clostridia; Oscillospirales; Oscillospiraceae; Colidextribacter",2914,568,1112,934,1036,5222,970,930,1565,1529
"d__Bacteria; Firmicutes; Clostridia; Oscillospirales; Oscillospiraceae; Intestinimonas",39,0,15,0,0,0,0,145,162,51
"d__Bacteria; Firmicutes; Clostridia; Oscillospirales; Oscillospiraceae; NK4A214_group",1367,666,3319,2095,414,2025,1411,2605,2599,1449
"d__Bacteria; Firmicutes; Clostridia; Oscillospirales; Oscillospiraceae; Oscillibacter",942,293,759,2293,556,409,645,1824,602,410
"d__Bacteria; Firmicutes; Clostridia; Oscillospirales; Oscillospiraceae; Sporobacter",0,0,0,0,0,0,0,0,24,0
"d__Bacteria; Firmicutes; Clostridia; Oscillospirales; Oscillospiraceae; UCG-002",47,21,146,54,21,88,48,66,18,29
"d__Bacteria; Firmicutes; Clostridia; Oscillospirales; Oscillospiraceae; UCG-003",38,9,0,14,12,0,0,0,0,0
"d__Bacteria; Firmicutes; Clostridia; Oscillospirales; Oscillospiraceae; UCG-005",5162,1809,9991,6078,1169,3182,4050,4453,6230,5719
