"AND1_AL_S67","AND1_AY_S72","AND2_AL_S68","AND2_AY_S73","AND3_AL_S69","AND3_AY_S74","AND4_AL_S70","AND4_AY_S75","AND5_AL_S71","AND5_AY_S76"
61,136,0,76,0,56,0,27,0,0
0,0,0,0,0,0,34,0,0,0
0,0,0,0,0,0,0,0,311,0
0,0,0,0,0,0,0,0,0,1125
4,0,0,25,0,0,0,0,50,49
0,22,0,43,0,45,0,0,0,0
0,0,0,52,0,0,5,0,9,0
0,0,15,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,26
22,300,0,29,12,21,23,104,0,3416
0,18,0,0,0,0,0,0,0,0
18,0,0,0,129,0,57,0,40,120
0,0,0,0,0,116,0,0,0,175
0,109,17,34,0,0,0,0,0,0
0,0,0,0,0,19,0,0,0,0
0,7,0,0,0,61,0,3,0,26
0,0,60,0,0,0,0,0,0,0
0,0,0,0,0,0,7,0,0,0
0,0,0,0,0,43,0,10,0,0
0,139,0,0,0,0,0,0,0,0
0,0,0,125,0,0,0,0,0,14
27,0,0,0,0,21,0,0,0,0
0,0,0,29,0,0,0,0,0,21
0,26,6,0,0,0,6,0,0,0
0,0,0,14,0,0,0,0,0,0
5,0,0,0,0,9,0,0,0,0
28,8,9,0,0,0,0,0,0,0
0,0,0,0,0,29,0,0,0,0
0,0,0,0,0,0,0,0,0,19
0,0,0,0,0,12,0,0,0,0
0,0,0,0,0,7,0,0,0,0
0,0,0,0,0,0,0,11,0,0
0,10,0,0,6,15,0,0,0,0
132,20,0,40,0,0,0,0,0,13
0,0,0,19,0,0,0,0,0,0
22,17,0,41,0,0,41,49,0,185
0,0,36,0,0,0,0,0,0,0
0,0,0,0,0,175,0,0,0,0
0,0,0,0,0,0,0,0,13,0
0,0,0,0,0,10,0,0,12,5
0,9,0,0,0,0,0,0,0,0
0,0,0,7,0,0,0,0,0,0
0,7,0,8,0,0,0,0,0,0
0,102,0,0,0,0,11,0,0,0
0,0,19,0,0,0,0,0,0,0
0,21,0,0,0,43,0,0,0,17
24,0,0,0,0,0,0,0,0,0
0,0,0,24,0,0,0,0,0,0
0,0,0,0,0,0,7,0,0,0
